out	asmid	species	strain	locustag	busco	hlen	table	genome_fa
GCA_043380955.1_ASM4338095v1	GCA_043380955.1_ASM4338095v1	Agaricus bisporus	A58_19	F1F1C4F5	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_043380955.1_ASM4338095v1.fa.gz
GCA_037953735.1_ASM3795373v1	GCA_037953735.1_ASM3795373v1	Agaricus bisporus	A7_31	FA84B8F1	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_037953735.1_ASM3795373v1.fa.gz
GCA_008271545.1_ASM827154v1	GCA_008271545.1_ASM827154v1	Agaricus bisporus	AB58	FB863B2D	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_008271545.1_ASM827154v1.fa.gz
GCA_055470795.1_ASM5547079v1	GCA_055470795.1_ASM5547079v1	Agaricus bisporus	AB7	F69B4357	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_055470795.1_ASM5547079v1.fa.gz
GCA_006491665.1_MU_Agar_1	GCA_006491665.1_MU_Agar_1	Agaricus bisporus	ARP23	F8793099	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_006491665.1_MU_Agar_1.fa.gz
GCA_014872705.1_ASM1487270v1	GCA_014872705.1_ASM1487270v1	Agaricus bisporus	H119_p4	FA6AE42A	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_014872705.1_ASM1487270v1.fa.gz
GCA_001682475.1_ASM168247v1	GCA_001682475.1_ASM168247v1	Agaricus bisporus	H39	FFAED62A	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_001682475.1_ASM168247v1.fa.gz
GCF_000300575.1_Agabi_varbisH97_2	GCF_000300575.1_Agabi_varbisH97_2	Agaricus bisporus	H97	F2B1A1A1	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCF_000300575.1_Agabi_varbisH97_2.fa.gz
GCF_000300555.1_Agabi_varbur_1	GCF_000300555.1_Agabi_varbur_1	Agaricus bisporus	JB137-s8	F5B6F0B4	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCF_000300555.1_Agabi_varbur_1.fa.gz
GCA_006228365.1_ASM622836v1	GCA_006228365.1_ASM622836v1	Agaricus bisporus	KMCC00540	F41D9D90	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_006228365.1_ASM622836v1.fa.gz
